"ibge","no_cidade","area_territorial","co_regiao_saude"
"220140","Barro Duro","131.119","22004"
"310050","Açucena","815.421","31037"
"350020","Adolfo","211.077","35156"
"421270","Petrolândia","306.153","42004"
"292430","Piatã","1713.47","29023"
"150050","Almeirim","72954.5","15002"
"350940","Cajuru","660.088","35133"
"431449","Pinheirinho do Vale","105.345","43015"
"210207","Bom Lugar","445.978","21002"
"420260","Bom Retiro","1055.5","42013"
"220150","Batalha","1588.89","22003"
"350600","Bauru","667.681","35062"
"315260","Pouso Alto","261.688","31008"
"354140","Presidente Prudente","562.795","35112"
"210190","Bequimão","768.951","21011"
"510682","Porto Esperidião","5808.17","51011"
"431530","Quaraí","3147.65","43003"
"171570","Palmeirante","2640.81","17004"
"311280","Capitólio","521.802","31093"
"220830","Piracuruca","2380.4","22003"
"290560","Camacan","626.65","29012"
"250340","Cacimba de Areia","220.379","25006"
"311030","Caldas","711.414","31006"
"420030","Agronômica","129.993","42004"
"352040","Ilhabela","347.537","35173"
"521523","Novo Gama","194.148","52004"
"520025","Águas Lindas de Goiás","188.384","52004"
"350070","Agudos","966.161","35062"
"250050","Alagoinha","96.979","25002"
"314820","Patrocínio do Muriaé","108.245","31045"
"411770","Palmeira","1457.26","41003"
"310770","Bom Jesus do Amparo","195.611","31021"
"310030","Abre Campo","470.551","31059"
"353630","Patrocínio Paulista","602.848","35081"
"210170","Barreirinhas","3111.97","21013"
"310570","Barra Longa","383.628","31060"
"150520","Oeiras do Pará","3852.27","15011"
"521690","Pilar de Goiás","906.649","52013"
"521640","Paraúna","3779.38","52010"
"314320","Monte Santo de Minas","594.632","31009"
"431240","Montenegro","424.013","43008"
"270690","Pilar","249.713","27001"
"314560","Oliveira","897.294","31088"
"521486","Nova Glória","412.953","52013"
"353460","Osvaldo Cruz","248.391","35091"
"314100","Mato Verde","472.244","31052"
"410280","Bela Vista do Paraíso","242.69","41017"
"270080","Belém","48.63","27008"
"210100","Arari","1100.27","21009"
"220760","Parnaguá","3429.27","22002"
"220965","São Francisco de Assis do Piauí","1100.39","22008"
"211020","Santa Rita","706.381","21013"
"292840","Santa Rita de Cássia","5977.75","29002"
"521940","Santa Rita do Araguaia","1361.77","52016"
"280650","Santa Rosa de Lima","67.607","28001"
"220937","Santa Rosa do Piauí","340.196","22008"
"231210","Santana do Cariri","855.558","23020"
"353340","Nova Odessa","73.8","35072"
"270800","Santana do Ipanema","437.875","27009"
"430673","Doutor Maurício Cardoso","252.69","43014"
"351230","Conchas","466.024","35063"
"510125","Araputanga","1600.26","51011"
"430690","Encruzilhada do Sul","3348.33","43027"
"351515","Engenheiro Coelho","109.941","35102"
"430695","Entre Rios do Sul","120.068","43016"
"230427","Ererê","396.016","23010"
"250600","Esperança","163.78","25003"
"430783","Eugênio de Castro","419.321","43011"
"260530","Exu","1337.49","26007"
"410670","Cruzeiro do Sul","259.103","41014"
"410685","Cruzmaltina","312.299","41022"
"250523","Cuité de Mamanguape","108.448","25014"
"250535","Damião","185.684","25004"
"520690","Davinópolis","481.296","52005"
"150640","Santa Cruz do Arari","1075.15","15013"
"354690","Santa Lúcia","154.033","35031"
"150658","Santa Maria das Barreiras","10330.2","15001"
"261190","Rio Formoso","227.457","26008"
"500730","Rio Negro","1807.67","50001"
"431630","Roque Gonzales","346.623","43011"
"270780","Roteiro","129.289","27005"
"430587","Coronel Barros","162.949","43013"
"220290","Corrente","3048.42","22002"
"290940","Cotegipe","4196.15","29002"
"270235","Craíbas","271.332","27007"
"430513","Cerro Branco","158.766","43027"
"220680","Nossa Senhora dos Remédios","358.49","22003"
"430550","Ciríaco","273.874","43017"
"110034","Alvorada D'Oeste","3029.19","11003"
"290810","Cocos","10148.1","29021"
"251315","Santa Cecília","227.874","25015"
"354610","Santa Clara d'Oeste","183.427","35152"
"315733","Santa Cruz de Minas","3.565","31015"
"315737","Santa Cruz de Salinas","589.572","31098"
"292700","Rio Real","716.881","29001"
"290380","Boa Vista do Tupim","2811.15","29011"
"261250","Santa Cruz do Capibaribe","335.271","26003"
"150140","Belém","1059.4","15006"
"220915","Santa Cruz dos Milagres","979.652","22010"
"210635","Marajá do Sena","1447.67","21002"
"421050","Maravilha","169.447","42001"
"354650","Santa Ernestina","134.421","35033"
"350490","Bananal","616.04","35172"
"421110","Monte Castelo","561.733","42012"
"171886","Santa Fé do Araguaia","1678.09","17001"
"251330","Santa Helena","210.321","25009"
"412370","Santa Isabel do Ivaí","349.498","41014"
"412382","Santa Lúcia","116.858","41010"
"315790","Santa Margarida","255.73","31059"
"171865","Rio da Conceição","787.114","17003"
"110140","Monte Negro","1931.38","11001"
"314345","Montezuma","1130.42","31085"
"521878","Rio Quente","255.961","52005"
"431575","Riozinho","239.56","43006"
"315610","Ritápolis","404.804","31015"
"430660","Dom Pedrito","5192.12","43022"
"210380","Dom Pedro","358.492","21012"
"220342","Domingos Mourão","846.839","22003"
"260460","Condado","89.644","26005"
"314120","Matutina","260.957","31082"
"430570","Condor","465.189","43013"
"250470","Congo","333.469","25005"
"311880","Coração de Jesus","2225.21","31050"
"351240","Cordeirópolis","137.579","35102"
"220635","Milton Brandão","1371.74","22003"
"314190","Minduri","219.774","31008"
"420445","Coronel Martins","107.408","42003"
"311970","Coronel Xavier Chaves","140.954","31015"
"260470","Correntes","328.653","26004"
"500330","Coxim","6409.23","50001"
"411450","Manoel Ribas","571.136","41022"
"292040","Manoel Vitorino","2254.42","29015"
"431643","Saldanha Marinho","221.605","43012"
"421530","Salete","179.309","42004"
"431535","Quinze de Novembro","223.639","43012"
"231160","Redenção","225.592","23003"
"210950","Riachão","6373","21003"
"241070","Riacho da Cruz","127.222","24006"
"350275","Araçariguama","146.339","35163"
"220275","Colônia do Gurguéia","430.619","22002"
"260380","Capoeiras","336.311","26004"
"220250","Caracol","1610.95","22006"
"420430","Concórdia","797.264","42010"
"311340","Caratinga","1258.78","31034"
"260392","Carnaubeira da Penha","1004.66","26012"
"210280","Carolina","6441.58","21008"
"150110","Bagre","4397.3","15014"
"430495","Caseiros","235.706","43018"
"250415","Casserengue","201.38","25002"
"351040","Capivari","322.707","35103"
"260420","Catende","207.243","26008"
"420330","Campo Alegre","496.149","42012"
"280610","Rosário do Catete","105.66","28006"
"315650","Rubelita","1110.29","31098"
"150619","Rurópolis","7021.31","15010"
"251310","Salgado de São Félix","201.852","25012"
"320530","Vitória","98.506","32002"
"412290","Salto do Itararé","200.519","41019"
"330330","Niterói","133.916","33006"
"431540","Redentora","302.681","43020"
"354320","Ribeirão do Sul","203.686","35094"
"220310","Cristino Castro","1846.3","22002"
"410510","Centenário do Sul","371.834","41017"
"521380","Morrinhos","2846.2","52017"
"510310","Cocalinho","16530.6","51006"
"510320","Colíder","3093.64","51010"
"270210","Colônia Leopoldina","207.893","27003"
"311750","Conceição do Mato Dentro","1726.83","31095"
"351050","Caraguatatuba","485.377","35173"
"250407","Caraúbas","497.202","25005"
"351070","Cardoso","639.725","35157"
"220255","Caridade do Piauí","501.326","22009"
"431500","Porto Lucena","250.079","43014"
"330411","Porto Real","50.748","33004"
"292540","Potiraguá","985.482","29013"
"150600","Prainha","14786.7","15002"
"313830","Leandro Ferreira","352.107","31032"
"210927","Presidente Sarney","724.151","21011"
"261140","Primavera","110.185","26008"
"352800","Macatuba","225.212","35062"
"412080","Quatro Barras","181.131","41002"
"290070","Alagoinhas","752.389","29001"
"220820","Pio IX","1947.15","22009"
"210870","Pio XII","545.137","21014"
"231090","Piquet Carneiro","587.873","23018"
"353890","Pirajuí","824.197","35062"
"431455","Pirapó","291.744","43011"
"150565","Placas","7173.17","15002"
"500270","Campo Grande","8092.97","50001"
"270160","Canapi","574.563","27009"
"314160","Mercês","348.271","31048"
"353020","Mirante do Paranapanema","1239.08","35115"
"110080","Candeias do Jamari","6843.89","11004"
"220230","Canto do Buriti","4325.62","22011"
"150220","Capanema","613.572","15009"
"314225","Miravânia","602.127","31076"
"430280","Caçapava do Sul","3047.13","43027"
"352620","Juquitiba","522.064","35013"
"520420","Cachoeira de Goiás","422.751","52010"
"291855","Jussari","356.847","29012"
"431510","Porto Xavier","280.511","43011"
"290530","Cafarnaum","675.439","29010"
"430340","Caiçara","189.238","43015"
"210240","Cajapió","908.724","21018"
"250370","Cajazeiras","565.896","25009"
"280530","Pirambu","205.878","28006"
"171720","Piraquê","1367.61","17001"
"231095","Pires Ferreira","243.097","23011"
"510050","Alto Paraguai","1846.3","51004"
"431470","Planalto","230.421","43015"
"350190","Amparo","445.553","35074"
"310190","Alpinópolis","454.751","31092"
"171790","Ponte Alta do Tocantins","6491.11","17008"
"412000","Porecatu","291.665","41017"
"210055","Amapá do Maranhão","502.397","21019"
"293200","Uauá","3035.15","29016"
"261080","Pedra","803.065","26002"
"500640","Pedro Gomes","3651.18","50001"
"171660","Peixe","5291.2","17005"
"412670","Tamboara","193.348","41014"
"520530","Cavalcante","6953.65","52006"
"260430","Cedro","171.64","26011"
"520470","Campinorte","1067.2","52014"
"431215","Mato Leitão","45.903","43028"
"171180","Juarina","481.046","17004"
"251210","Pombal","888.802","25013"
"431480","Portão","159.895","43007"
"251110","Pedra Lavrada","351.678","25004"
"251120","Pedras de Fogo","400.388","25012"
"431420","Pedro Osório","608.792","43021"
"411900","Pérola d'Oeste","206.048","41008"
"261110","Petrolina","4558.4","26009"
"150563","Piçarra","3312.65","15003"
"250375","Cajazeirinhas","287.893","25013"
"316920","Tombos","285.125","31042"
"220208","Cajueiro da Praia","271.705","22005"
"230075","Amontada","1179.03","23006"
"160020","Calçoene","14269.3","16002"
"430270","Butiá","752.25","43009"
"410315","Bom Jesus do Sul","173.972","41008"
"140015","Bonfim","8095.4","14001"
"172130","Tupiratins","895.305","17004"
"430260","Braga","128.993","43020"
"350240","Anhumas","320.419","35112"
"220080","Antônio Almeida","645.742","22007"
"350775","Brejo Alegre","105.399","35023"
"500190","Bataguassu","2415.3","50004"
"120040","Rio Branco","8835.67","12002"
"500720","Rio Brilhante","3987.41","50003"
"150580","Portel","25384.9","15014"
"330025","Arraial do Cabo","160.286","33002"
"280560","Porto da Folha","877.297","28005"
"160053","Porto Grande","4401.77","16001"
"171820","Porto Nacional","4449.91","17008"
"421360","Porto União","851.244","42012"
"510700","Poxoréo","6910.1","51013"
"160055","Pracuúba","4956.45","16002"
"313530","Japaraíba","172.141","31087"
"130353","Presidente Figueiredo","25422.3","13001"
"150610","Primavera","258.599","15009"
"291940","Licínio de Almeida","843.374","29007"
"352690","Limeira","581.002","35102"
"510704","Primavera do Leste","5471.65","51013"
"431517","Protásio Alves","172.816","43025"
"431520","Putinga","205.053","43029"
"510525","Lucas do Rio Verde","3664","51014"
"411373","Luiziana","908.603","41011"
"313890","Machacalis","332.377","31062"
"412085","Quatro Pontes","114.393","41020"
"355070","São Sebastião","400.387","35173"
"280120","Canindé de São Francisco","902.241","28005"
"430466","Capão do Leão","785.377","43021"
"230290","Capistrano","222.547","23004"
"170382","Cachoeirinha","352.344","17002"
"430310","Cachoeirinha","44.018","43010"
"316580","Senador José Bento","93.892","31007"
"316320","São José do Alegre","88.794","31003"
"520440","Caiapônia","8637.87","52016"
"355620","Valinhos","148.113","35072"
"240200","Caicó","1228.58","24004"
"430360","Cambará do Sul","1212.54","43006"
"230260","Camocim","1139.21","23016"
"500840","Vicentina","310.164","50003"
"520460","Campestre de Goiás","273.815","52001"
"313220","Itaguara","410.468","31031"
"520380","Britânia","1461.19","52012"
"210255","Campestre do Maranhão","615.381","21008"
"430370","Campina das Missões","225.763","43014"
"313310","Itanhandu","143.368","31008"
"220800","Picos","534.713","22009"
"411530","Mariópolis","230.742","41007"
"171380","Palmeiras do Tocantins","747.895","17002"
"411790","Palotina","651.239","41020"
"261020","Panelas","370.938","26003"
"231040","Paramoti","482.589","23005"
"220770","Parnaíba","435.57","22005"
"280360","Laranjeiras","162.279","28001"
"171215","Lavandeira","519.571","17003"
"352720","Lorena","414.358","35172"
"431406","Passa Sete","304.54","43027"
"211210","Timbiras","1486.58","21007"
"314800","Patos de Minas","3189.77","31057"
"352710","Lins","570.238","35065"
"354150","Presidente Venceslau","756.743","35114"
"521520","Novo Brasil","649.954","52009"
"353440","Osasco","64.037","35014"
"421940","Witmarsum","150.798","42004"
"291650","Itapicuru","1585.57","29001"
"431340","Novo Hamburgo","223.822","43007"
"270560","Novo Lino","233.408","27003"
"510628","Novo São Joaquim","5035.15","51005"
"290270","Barra","11412.8","29008"
"150013","Abel Figueiredo","614.269","15003"
"500020","Água Clara","11031.1","50004"
"352380","Itobi","139.214","35143"
"250020","Aguiar","344.706","25007"
"313050","Ilicínea","376.341","31011"
"230050","Alcântaras","138.604","23011"
"210030","Aldeias Altas","1942.1","21005"
"251130","Piancó","564.732","25007"
"251140","Picuí","661.654","25004"
"291410","Ipupiara","1061.24","29008"
"261010","Palmeirina","158.02","26004"
"431380","Palmitinho","144.046","43015"
"421220","Papanduva","759.834","42012"
"355440","Terra Roxa","221.541","35052"
"355460","Timburi","196.79","35094"
"411800","Paraíso do Norte","204.564","41014"
"411810","Paranacity","348.631","41015"
"240890","Parelhas","513.053","24004"
"293030","Serra Dourada","1346.61","29021"
"210800","Pastos Bons","1635.3","21015"
"251080","Patos","473.054","25006"
"431349","Novo Barreiro","123.583","43020"
"430245","Boqueirão do Leão","265.428","43029"
"150475","Mojuí dos Campos",,"15002"
"350730","Boracéia","122.11","35064"
"420285","Braço do Trombudo","89.681","42004"
"150172","Brasil Novo","6362.56","15012"
"150178","Breu Branco","3941.91","15004"
"210230","Buriti Bravo","1582.55","21015"
"260170","Belo Jardim","647.694","26003"
"220155","Bela Vista do Piauí","499.391","22008"
"430205","Benjamin Constant do Sul","132.396","43016"
"220173","Betânia do Piauí","564.709","22009"
"292320","Oliveira dos Brejinhos","3512.66","29008"
"353430","Orlândia","291.774","35082"
"355080","São Sebastião da Grama","252.38","35143"
"260980","Orocó","554.757","26009"
"150543","Ourilândia do Norte","14339.4","15001"
"220735","Pajeú do Piauí","1079.17","22011"
"150549","Palestina do Pará","984.359","15003"
"510590","Nobres","3892.05","51004"
"140040","Normandia","6966.79","14001"
"510610","Nossa Senhora do Livramento","5540.74","51002"
"330575","Tanguá","145.503","33006"
"510615","Nova Bandeirantes","9606.26","51001"
"431303","Nova Esperança do Sul","191.001","43002"
"313652","José Gonçalves de Minas","381.331","31027"
"411705","Nova Laranjeiras","1145.49","41005"
"510624","Nova Ubiratã","12706.2","51014"
"510100","Araguaiana","6429.38","51005"
"430085","Arambaré","519.126","43009"
"240110","Areia Branca","357.623","24002"
"220100","Arraial","682.757","22011"
"430140","Arvorezinha","271.643","43019"
"313760","Lagoa Santa","230.082","31025"
"120005","Assis Brasil","4974.19","12001"
"410220","Atalaia","137.664","41015"
"260830","Jupi","104.99","26004"
"420180","Atalanta","94.526","42004"
"251680","Triunfo","219.865","25009"
"172208","Wanderlândia","1373.06","17001"
"412140","Realeza","353.417","41008"
"432252","Vale Verde","329.728","43028"
"314740","Paraopeba","625.623","31024"
"293315","Várzea Nova","1192.9","29014"
"251070","Passagem","111.875","25006"
"432290","Viadutos","268.36","43016"
"431342","Novo Machado","218.67","43014"
"150503","Novo Progresso","38162.4","15010"
"292310","Olindina","542.198","29019"
"210740","Olho d'Água das Cunhãs","695.345","21002"
"270590","Olho d'Água Grande","118.509","27007"
"270610","Ouro Branco","204.771","27009"
"150548","Pacajá","11832.3","15012"
"230970","Pacatuba","145.077","23003"
"110014","Nova Brasilândia D'Oeste","1155.36","11005"
"313240","Itajubá","294.835","31003"
"230980","Pacoti","109.586","23004"
"411750","Paiçandu","170.838","41015"
"353284","Nova Canaã Paulista","124.419","35152"
"431301","Nova Candelária","97.833","43014"
"210730","Nova Iorque","976.849","21015"
"421890","Urubici","1019.24","42013"
"316556","Sem-Peixe","176.634","31060"
"410305","Boa Vista da Aparecida","256.298","41010"
"430220","Boa Vista do Buricá","108.733","43014"
"260200","Bodocó","1616.49","26007"
"221020","São José do Piauí","364.943","22009"
"230690","Jaguaribe","1876.8","23010"
"352470","Jaguariúna","141.769","35072"
"420253","Bom Jesus","63.553","42003"
"310490","Baependi","750.554","31008"
"310500","Baldim","556.266","31024"
"270060","Barra de São Miguel","76.615","27001"
"521080","Itajá","2091.4","52015"
"510180","Barra do Garças","9078.98","51005"
"510500","Jauru","1302.11","51012"
"411275","Jesuítas","247.497","41010"
"430187","Barra do Quaraí","1056.15","43003"
"260140","Barreiros","233.372","26008"
"171515","Novo Alegre","200.103","17003"
"316805","Taparuba","193.081","31059"
"314490","Nova Módica","375.972","31096"
"230890","Morrinhos","415.551","23012"
"210710","Morros","1715.13","21013"
"140030","Mucajaí","12461.2","14001"
"230910","Mulungu","95.58","23004"
"355110","Sarapuí","352.685","35161"
"293050","Serrinha","658.925","29025"
"500568","Mundo Novo","477.783","50003"
"411630","Munhoz de Melo","137.018","41015"
"320380","Muqui","326.874","32004"
"220669","Murici dos Portelas","481.705","22005"
"270340","Jacaré dos Homens","142.34","27007"
"210650","Matinha","408.725","21018"
"270510","Matriz de Camaragibe","219.99","27002"
"352540","Jeriquara","141.971","35081"
"260150","Belém de Maria","73.741","26008"
"250200","Belém do Brejo do Cruz","603.04","25008"
"420810","Itaiópolis","1295.32","42012"
"310610","Belmiro Braga","393.13","31097"
"430210","Bento Gonçalves","381.96","43025"
"291660","Itapitanga","408.372","29012"
"260180","Betânia","1244.07","26012"
"290395","Bom Jesus da Serra","421.517","29028"
"310710","Boa Esperança","860.669","31011"
"355330","Tambaú","561.788","35142"
"150100","Aveiro","17073.8","15010"
"160070","Tartarugalzinho","6709.63","16002"
"355400","Tatuí","523.475","35161"
"210110","Axixá","203.152","21013"
"210125","Bacabeira","615.586","21013"
"350480","Bálsamo","150.602","35155"
"291360","Ilhéus","1760","29009"
"420720","Imaruí","542.238","42016"
"250150","Bananeiras","257.93","25002"
"353330","Nova Luzitânia","74.057","35021"
"510895","Nova Monte Verde","5248.54","51001"
"312820","Guaraciaba","348.595","31060"
"431320","Nova Petrópolis","291.301","43023"
"431330","Nova Prata","258.744","43025"
"431333","Nova Ramada","254.756","43013"
"521490","Nova Roma","2135.96","52007"
"230930","Nova Russas","742.764","23015"
"250970","Monteiro","986.351","25005"
"210725","Nova Colinas","743.103","21003"
"150790","Soure","3517.3","15013"
"261430","Moreilândia","404.57","26007"
"250990","Natuba","205.041","25015"
"431267","Nicolau Vergueiro","155.82","43017"
"150010","Abaetetuba","1610.6","15011"
"170310","Barrolândia","713.298","17007"
"210005","Açailândia","5806.37","21001"
"240020","Açu","1303.44","24008"
"260010","Afogados da Ingazeira","377.694","26001"
"431043","Ipê","599.249","43026"
"352130","Ipuã","465.884","35082"
"220010","Agricolândia","112.424","22004"
"500800","Terenos","2844.51","50001"
"251550","Serra Branca","686.911","25005"
"210015","Água Doce do Maranhão","443.264","21006"
"251570","Serra Grande","83.474","25007"
"260040","Água Preta","533.328","26008"
"350050","Águas de Lindóia","60.126","35074"
"430180","Barracão","516.291","43018"
"420055","Águas Frias","75.162","42002"
"250040","Alagoa Nova","122.255","25003"
"430045","Alegria","172.688","43014"
"240050","Alexandria","381.203","24006"
"310160","Alfenas","850.446","31001"
"313390","Itaverava","284.22","31079"
"313030","Iguatama","628.2","31030"
"210530","Imperatriz","1368.98","21008"
"292525","Ponto Novo","497.347","29024"
"260070","Aliança","272.788","26005"
"510025","Alta Floresta","9212.45","51001"
"420075","Alto Bela Vista","103.593","42010"
"431220","Maximiliano de Almeida","208.526","43018"
"260950","Nazaré da Mata","150.263","26006"
"220630","Miguel Leão","93.514","22004"
"230830","Milagres","576.96","23019"
"280410","Moita Bonita","95.819","28003"
"210690","Monção","1301.96","21014"
"521350","Monte Alegre de Goiás","3119.8","52006"
"250890","Mamanguape","340.531","25014"
"130250","Manacapuru","7330.07","13002"
"330260","Mangaratiba","353.083","33001"
"352885","Marapoama","111.267","35151"
"411460","Marechal Cândido Rondon","748.004","41020"
"421055","Marema","103.615","42003"
"410290","Bituruna","1214.92","41006"
"420250","Bom Jardim da Serra","935.176","42013"
"520050","Aloândia","102.16","52017"
"510030","Alto Araguaia","5514.51","51013"
"510040","Alto Garças","3748.06","51013"
"210050","Alto Parnaíba","11132.1","21003"
"310210","Alto Rio Doce","518.052","31013"
"310240","Alvorada de Minas","374.008","31095"
"220050","Amarante","1155.2","22004"
"430170","Barão de Cotegipe","260.131","43016"
"210070","Anajatuba","1011.12","21009"
"130008","Anamã","2453.94","13002"
"251020","Nova Olinda","84.253","25007"
"150085","Anapu","11895.5","15012"
"310260","Andradas","469.37","31006"
"410120","Antonina","882.318","41001"
"430080","Antônio Prado","347.618","43026"
"210083","Apicum-Açu","353.164","21011"
"411575","Mauá da Serra","108.325","41016"
"160040","Mazagão","13130.9","16003"
"150445","Medicilândia","8272.6","15012"
"150450","Melgaço","6773.97","15014"
"352960","Meridiano","229.246","35154"
"210670","Mirador","8450.81","21015"
"120001","Acrelândia","1807.89","12002"
"431235","Montauri","82.079","43017"
"411410","Mandaguaçu","294.02","41015"
"210680","Mirinzal","687.744","21011"
"320330","Mantenópolis","320.744","32001"
"130280","Maraã","16910.4","13008"
"260090","Amaraji","234.955","26008"
"290150","Anguera","177.042","29006"
"320115","Brejetuba","342.509","32002"
"510080","Apiacás","20379.9","51001"
"170200","Araguaçu","5167.94","17005"
"230120","Aracoiaba","656.593","23004"
"280040","Arauá","192.728","28002"
"510140","Aripuanã","24613","51008"
"411545","Marquinho","511.149","41005"
"250920","Massaranduba","205.956","25016"
"521230","Leopoldo de Bulhões","480.891","52002"
"431160","Liberato Salzano","245.628","43015"
"314180","Minas Novas","1812.4","31027"
"330300","Miracema","304.515","33007"
"210600","Lima Campos","321.93","21010"
"260890","Limoeiro","273.737","26006"
"411350","Loanda","722.498","41014"
"210620","Luís Domingues","464.057","21019"
"293340","Wagner","420.997","29011"
"150840","Xinguara","3779.35","15001"
"210040","Altamira do Maranhão","721.504","21002"
"432250","Vacaria","2123.68","43024"
"221135","Várzea Branca","450.753","22006"
"261610","Verdejante","476.037","26011"
"150820","Vigia","539.077","15007"
"150430","Maracanã","857.188","15008"
"431198","Mariana Pimentel","337.794","43009"
"352900","Marília","1170.25","35093"
"431205","Marques de Souza","125.176","43029"
"280400","Maruim","93.77","28006"
"521290","Marzagão","222.428","52005"
"352990","Miracatu","1001.54","35121"
"230750","Lavras da Mangabeira","947.963","23017"
"171270","Mateiros","9583.46","17008"
"313880","Luz","1171.66","31028"
"230760","Limoeiro do Norte","751.834","23010"
"421935","Vitor Meireles","371.564","42004"
"352770","Luiziânia","166.549","35023"
"130440","Urucurituba","2906.7","13004"
"317075","Varjão de Minas","651.555","31057"
"412855","Vera Cruz do Oeste","327.091","41010"
"270940","Viçosa","343.356","27004"
"432340","Vila Maria","181.44","43017"
"211285","Vila Nova dos Martírios","1188.77","21001"
"150410","Magalhães Barata","323.735","15008"
"431115","Jóia","1235.89","43013"
"120032","Jordão","5357.3","12002"
"230730","Juazeiro do Norte","248.223","23021"
"291845","Jucuruçu","1398.81","29026"
"130220","Juruá","19400.7","13008"
"150390","Juruti","8305.12","15002"
"210570","Lago da Pedra","1223.17","21010"
"210596","Lagoa Grande do Maranhão","744.293","21010"
"250830","Lagoa Seca","107.589","25003"
"220585","Madeiro","177.152","22003"
"431130","Lagoa Vermelha","1263.51","43018"
"420940","Laguna","440.707","42016"
"316940","Três Pontas","689.794","31011"
"420945","Lajeado Grande","65.928","42003"
"313440","Iturama","1404.66","31071"
"432200","Triunfo","818.802","43008"
"211223","Trizidela do Vale","222.945","21010"
"150810","Tucuruí","2086.2","15004"
"432215","Tunas","218.073","43019"
"260920","Maraial","199.864","26008"
"432220","Tupanciretã","2251.87","43012"
"261590","Tuparetama","178.569","26001"
"522150","Turvânia","480.775","52010"
"317047","Uruana de Minas","598.501","31058"
"355320","Taiúva","132.459","35052"
"510800","Tapurah","4510.65","51014"
"231360","Ubajara","421.031","23013"
"270930","União dos Palmares","420.658","27003"
"352750","Lucianópolis","189.816","35062"
"355300","Taguaí","145.332","35061"
"500797","Taquarussu","1041.12","50003"
"270380","Joaquim Gomes","298.288","27003"
"510510","Juara","22641.2","51016"
"432255","Vanini","64.873","43017"
"220551","Juazeiro do Piauí","827.236","22001"
"220552","Júlio Borges","1297.1","22002"
"420920","Lacerdópolis","68.453","42008"
"210590","Lago Verde","623.231","21002"
"260860","Lagoa do Ouro","198.76","26004"
"431127","Lagoa dos Três Cantos","138.636","43017"
"355680","Viradouro","217.727","35052"
"313670","Juiz de Fora","1435.66","31097"
"432370","Vista Gaúcha","88.719","43015"
"432149","Toropi","202.977","43001"
"150808","Tucumã","2512.59","15001"
"330590","Trajano de Moraes","589.811","33009"
"240660","Lagoa Salgada","79.313","24001"
"211227","Tufilândia","271.009","21014"
"412795","Tupãssi","310.91","41020"
"140070","Uiramutã","8065.54","14001"
"251700","Umbuzeiro","181.326","25015"
"231375","Umirim","316.816","23006"
"317040","Unaí","8447.1","31058"
"510830","União do Sul","4581.91","51014"
"432237","Unistalda","602.39","43002"
"261480","Tacaratu","1264.53","26002"
"330227","Japeri","81.871","33005"
"355310","Taiaçu","106.638","35052"
"230670","Jaguaretama","1759.72","23009"
"352490","Jambeiro","184.258","35171"
"280340","Japoatã","407.419","28007"
"421187","Paial","85.761","42002"
"411110","Itambé","243.822","41015"
"130210","Japurá","55791.9","13008"
"171070","Itaguatins","739.846","17002"
"291610","Itaparica","118.04","29020"
"355250","Suzano","206.617","35011"
"211163","São Raimundo do Doca Bezerra","419.35","21010"
"241290","São Tomé","862.578","24005"
"316553","Sarzedo","62.134","31018"
"431973","São Valério do Sul","107.971","43013"
"150775","Sapucaia","1298.19","15001"
"240620","Lagoa d'Anta","105.651","24001"
"432020","Seberi","301.421","43015"
"431080","Ivoti","63.151","43007"
"313460","Jaboticatubas","1114.16","31016"
"261360","São José do Egito","798.873","26001"
"500500","Jardim","2201.52","50001"
"352510","Jardinópolis","502.482","35132"
"291530","Itagimirim","839.058","29018"
"521205","Jesúpolis","122.475","52001"
"240580","João Câmara","714.954","24003"
"411100","Itambaracá","207.343","41018"
"291620","Itapé","459.369","29012"
"411120","Itapejara d'Oeste","254.015","41007"
"432120","Taquara","457.856","43006"
"260770","Itapetim","404.849","26001"
"316800","Taiobeiras","1194.52","31085"
"432110","Tapes","806.299","43009"
"130420","Tefé","23704.5","13008"
"412740","Terra Roxa","800.809","41020"
"352460","Jacupiranga","704.09","35121"
"313500","Jaguaraçu","163.76","31035"
"432147","Tiradentes do Sul","234.483","43015"
"412640","Sertaneja","444.493","41018"
"431057","Itapuca","184.25","43019"
"352210","Itanhaém","599.581","35041"
"230630","Itapagé","430.414","23002"
"521130","Itarumã","3433.63","52015"
"313020","Igaratinga","218.343","31032"
"220470","Inhuma","978.212","22010"
"352340","Itatiba","322.211","35072"
"316530","São Vicente de Minas","392.651","31015"
"230590","Ipueiras","1477.4","23015"
"250720","Itatuba","244.221","25012"
"510460","Itiquira","8722.49","51013"
"313120","Ipanema","456.64","31059"
"352480","Jales","368.52","35153"
"293160","Teolândia","317.826","29027"
"261510","Terezinha","151.449","26004"
"313600","Joaíma","1664.19","31094"
"221080","Simplício Mendes","1345.78","22008"
"251590","Serraria","65.299","25002"
"160005","Serra do Navio","7756.1","16001"
"432055","Sertão Santana","251.847","43009"
"280710","Simão Dias","564.688","28004"
"280720","Siriri","165.812","28006"
"251597","Sobrado","61.742","25001"
"352280","Itaporanga","507.706","35061"
"352290","Itapuí","140.799","35064"
"291670","Itaquara","322.975","29015"
"221090","Socorro do Piauí","761.85","22011"
"521010","Ipameri","4368.98","52005"
"261410","Sertânia","2421.51","26002"
"352780","Lupércio","154.485","35093"
"280290","Itabaiana","336.692","28003"
